Day,Price,10MA,20MA,50MA,100MA,200MA
2094,107.7200,109.666,112.7965,120.1147,124.2429,121.560725
2093,112.7600,110.544,113.1425,120.5125,124.4367,121.586225
2092,113.2900,110.984,113.4265,120.7893,124.5747,121.578675
2091,112.9200,111.251,113.827,121.0811,124.6978,121.560725
2090,109.6900,111.474,114.2995,121.3687,124.8287,121.540275
2089,103.7400,112.029,114.9645,121.7269,125.0053,121.536875
2088,103.1200,113.004,115.9465,122.1905,125.2211,121.561675
2087,105.7600,114.664,116.929,122.6715,125.4324,121.590375
2086,112.6500,115.64,117.866,123.1281,125.6191,121.604575
2085,115.0100,115.888,118.4915,123.4527,125.7563,121.588325
2084,116.5000,115.927,119.002,123.7009,125.8387,121.553275
2083,117.1600,115.741,119.7145,123.9269,125.9161,121.505675
2082,115.9600,115.869,120.46,124.1567,125.9783,121.456575
2081,115.1500,116.403,121.143,124.4247,126.0856,121.410475
